t_h,T_glucosa_C,m_ton,fase
1.1093094517235775,40.87551401651127,252.00054500056257,descarga
1.1259761183902444,40.888295956956675,252.00054500056257,descarga
1.1426427850569107,40.90106708975262,252.00054500056257,descarga
1.1593094517235776,40.913827423872235,252.00054500056257,descarga
1.1759761183902442,40.926576968281445,252.00054500056257,descarga
1.1926427850569108,40.939315731939004,252.00054500056257,descarga
1.2093094517235774,40.95204372379648,252.00054500056257,descarga
1.2259761183902442,40.96476095279828,252.00054500056257,descarga
1.2426427850569108,40.97746742788165,252.00054500056257,descarga
1.2593094517235774,40.99016315797667,252.00054500056257,descarga
1.275976118390244,41.00284815200625,252.00054500056257,descarga
1.2926427850569109,41.01552241888619,252.00054500056257,descarga
1.3093094517235775,41.02818596752512,252.00054500056257,descarga
1.325976118390244,41.040838806824524,252.00054500056257,descarga
1.342642785056911,41.053480945678785,252.00054500056257,descarga
1.3593094517235775,41.06611239297513,252.00054500056257,descarga
1.3759761183902441,41.078733157593675,252.00054500056257,descarga
1.3926427850569107,41.091343248407426,252.00054500056257,descarga
1.4093094517235776,41.10394267428227,252.00054500056257,descarga
1.4259761183902442,41.116531444077,252.00054500056257,descarga
1.4426427850569108,41.12910956664329,252.00054500056257,descarga
1.4593094517235774,41.14167705082573,252.00054500056257,descarga
1.4759761183902442,41.15423390546182,252.00054500056257,descarga
1.4926427850569108,41.16678013938199,252.00054500056257,descarga
1.5093094517235774,41.17931576140957,252.00054500056257,descarga
1.525976118390244,41.19184078036082,252.00054500056257,descarga
1.5426427850569109,41.20435520504494,252.00054500056257,descarga
1.5593094517235775,41.21685904426407,252.00054500056257,descarga
1.575976118390244,41.229352306813276,252.00054500056257,descarga
1.592642785056911,41.241835001480595,252.00054500056257,descarga
1.6093094517235775,41.254307137047,252.00054500056257,descarga
1.6259761183902441,41.26676872228643,252.00054500056257,descarga
1.6426427850569107,41.279219765965784,252.00054500056257,descarga
1.6593094517235776,41.29166027684494,252.00054500056257,descarga
1.6759761183902442,41.304090263676734,252.00054500056257,descarga
1.6926427850569108,41.316509735207006,252.00054500056257,descarga
1.7093094517235774,41.32891870017456,252.00054500056257,descarga
1.7259761183902442,41.3413171673112,252.00054500056257,descarga
1.7426427850569108,41.35370514534173,252.00054500056257,descarga
1.7593094517235774,41.36608264298393,252.00054500056257,descarga
